Airport.Code,Airport.Name,Time.Label,Time.Month,Time.Month Name,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Security,Statistics.# of Delays.Weather,Statistics.Carriers.Names,Statistics.Carriers.Total,Statistics.Flights.Cancelled,Statistics.Flights.Delayed,Statistics.Flights.Diverted,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Security,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather
LAX,"Los Angeles, CA: Los Angeles International",2007/03,3,March,2007,546,2368,2046,14,255,"JetBlue Airways,Spirit Airlines Inc.,Frontier Airlines Inc.,Allegiant Air,American Airlines Inc.,Delta Air Lines Inc.,United Air Lines Inc.",7,75,2573,32,12812,15492,76979,9538,62691,1964,190936,39764
ORD,"Chicago, IL: O'Hare International",2017/01,1,January,2017,460,2091,3841,10,740,"American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.",4,225,9824,30,16989,27068,10509,57761,39265,1806,150640,41299
LAX,"Los Angeles, CA: Los Angeles International",2010/03,3,March,2010,1466,736,2624,10,204,"United Air Lines Inc.,Southwest Airlines Co.,Hawaiian Airlines Inc.,Spirit Airlines Inc.,American Airlines Inc.,Delta Air Lines Inc.",6,60,8796,1,7562,16419,15860,98513,51448,423,171548,5304
SEA,"Seattle, WA: Seattle-Tacoma International",2022/01,1,January,2022,1327,2349,2795,26,30,"Southwest Airlines Co.,JetBlue Airways,Sun Country Airlines,Alaska Airlines Inc.",4,202,2225,1,29501,31929,27301,34729,73876,848,151294,14540
DEN,"Denver, CO: Denver International",2011/05,5,May,2011,441,1940,3185,25,105,"Delta Air Lines Inc.,Southwest Airlines Co.",2,119,8572,46,20353,29090,5617,33206,66312,1693,148629,41801
SFO,"San Francisco, CA: San Francisco International",2017/07,7,July,2017,688,673,2506,28,697,"Delta Air Lines Inc.,JetBlue Airways",2,153,7726,49,10062,17990,17173,56953,78838,795,196528,42769
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2007/05,5,May,2007,1369,1688,2747,27,547,"Hawaiian Airlines Inc.,Allegiant Air,Frontier Airlines Inc.,Sun Country Airlines,JetBlue Airways,Delta Air Lines Inc.,Southwest Airlines Co.",7,15,6782,20,25941,32758,16996,54728,86439,1854,172901,12884
LAX,"Los Angeles, CA: Los Angeles International",2001/08,8,August,2001,942,1340,3487,24,43,"Spirit Airlines Inc.,Hawaiian Airlines Inc.,Allegiant Air,American Airlines Inc.,Sun Country Airlines",5,231,3560,43,13260,17094,33823,8624,36614,1787,130129,49281
SFO,"San Francisco, CA: San Francisco International",2008/06,6,June,2008,678,1771,1545,10,229,"Southwest Airlines Co.,Delta Air Lines Inc.,American Airlines Inc.",3,157,6645,28,28758,35588,1035,19930,60337,1172,128771,46297
SEA,"Seattle, WA: Seattle-Tacoma International",2001/11,11,November,2001,150,583,1867,21,790,"JetBlue Airways,Sun Country Airlines,Southwest Airlines Co.,American Airlines Inc.",4,175,8169,50,17529,25923,10729,33554,104399,536,153660,4442
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2012/09,9,September,2012,453,2472,2392,15,165,"United Air Lines Inc.,American Airlines Inc.,Hawaiian Airlines Inc.,Alaska Airlines Inc.",4,79,9873,33,18306,28291,5605,11072,118273,1963,149146,12233
LAX,"Los Angeles, CA: Los Angeles International",2009/08,8,August,2009,1906,1598,587,30,300,"Delta Air Lines Inc.,Sun Country Airlines,Frontier Airlines Inc.,Spirit Airlines Inc.,Alaska Airlines Inc.",5,150,3538,33,12502,16223,59217,65039,80073,553,241721,36839
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2007/09,9,September,2007,140,202,2846,8,361,"Frontier Airlines Inc.,Allegiant Air",2,276,2365,13,13148,15802,68798,18228,12572,1367,144922,43957
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2010/03,3,March,2010,668,1846,2392,4,673,"Alaska Airlines Inc.,Southwest Airlines Co.,Frontier Airlines Inc.",3,232,6278,36,13618,20164,3418,84403,41268,1971,160169,29109
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2017/05,5,May,2017,468,814,620,12,706,"United Air Lines Inc.,Hawaiian Airlines Inc.,Frontier Airlines Inc.",3,12,2538,39,23329,25918,34779,75774,48360,1137,174377,14327
SEA,"Seattle, WA: Seattle-Tacoma International",2021/05,5,May,2021,894,533,438,4,111,"American Airlines Inc.,Delta Air Lines Inc.,Sun Country Airlines",3,14,3866,48,26938,30866,23409,41405,107278,360,184013,11561
JFK,"New York, NY: John F. Kennedy International",2013/07,7,July,2013,954,974,3063,10,699,"Allegiant Air,Alaska Airlines Inc.,JetBlue Airways,Sun Country Airlines",4,166,4943,32,29575,34716,58320,65039,45541,1529,195435,25006
DEN,"Denver, CO: Denver International",2005/10,10,October,2005,1634,1322,685,2,690,"American Airlines Inc.,Alaska Airlines Inc.,Frontier Airlines Inc.,Spirit Airlines Inc.,Allegiant Air,JetBlue Airways,Sun Country Airlines",7,200,5785,22,10367,16374,36851,12140,79835,1571,144627,14230
SEA,"Seattle, WA: Seattle-Tacoma International",2024/05,5,May,2024,1630,1454,3643,12,501,"Southwest Airlines Co.,Frontier Airlines Inc.",2,147,1959,49,6449,8604,40211,52196,9024,318,109845,8096
BOS,"Boston, MA: Logan International",2020/09,9,September,2020,177,1835,947,25,8,"Frontier Airlines Inc.,Sun Country Airlines,Southwest Airlines Co.,Spirit Airlines Inc.,Delta Air Lines Inc.,Hawaiian Airlines Inc.,Allegiant Air",7,261,7258,32,24675,32226,36262,2819,40311,814,106808,26602
JFK,"New York, NY: John F. Kennedy International",2007/04,4,April,2007,652,2423,682,7,522,"Delta Air Lines Inc.,Hawaiian Airlines Inc.,Alaska Airlines Inc.,American Airlines Inc.,Southwest Airlines Co.,United Air Lines Inc.,Sun Country Airlines",7,142,568,10,8958,9678,62428,97036,27220,34,200777,14059
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2009/05,5,May,2009,988,1792,1394,18,594,"Sun Country Airlines,Frontier Airlines Inc.,American Airlines Inc.",3,134,3388,34,23594,27150,15761,24306,76088,1909,167980,49916
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2020/07,7,July,2020,1210,2002,803,26,74,"Southwest Airlines Co.,Alaska Airlines Inc.,United Air Lines Inc.,American Airlines Inc.",4,158,995,20,25075,26248,48785,45145,113521,546,217422,9425
JFK,"New York, NY: John F. Kennedy International",2009/11,11,November,2009,1066,2329,291,10,36,"JetBlue Airways,Hawaiian Airlines Inc.,Sun Country Airlines,Allegiant Air,Frontier Airlines Inc.,United Air Lines Inc.,Alaska Airlines Inc.",7,240,4872,28,18012,23152,59442,10423,118239,1846,217849,27899
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2012/02,2,February,2012,433,345,1566,0,225,"United Air Lines Inc.,Allegiant Air,Hawaiian Airlines Inc.,American Airlines Inc.,Southwest Airlines Co.,Sun Country Airlines,Delta Air Lines Inc.",7,200,8908,14,18808,27930,70424,75208,86991,1584,264511,30304
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2013/11,11,November,2013,1070,1182,158,18,663,"Delta Air Lines Inc.,Frontier Airlines Inc.,Spirit Airlines Inc.,Southwest Airlines Co.",4,133,6564,23,9635,16355,44954,21696,29597,73,120510,24190
SEA,"Seattle, WA: Seattle-Tacoma International",2022/12,12,December,2022,976,1409,3147,20,243,"Allegiant Air,United Air Lines Inc.,JetBlue Airways,American Airlines Inc.,Delta Air Lines Inc.",5,157,3047,45,20981,24230,63037,1810,75322,577,155929,15183
JFK,"New York, NY: John F. Kennedy International",2015/02,2,February,2015,1072,199,3553,11,748,"Allegiant Air,Spirit Airlines Inc.,Alaska Airlines Inc.,Hawaiian Airlines Inc.,JetBlue Airways,Frontier Airlines Inc.,American Airlines Inc.",7,92,3627,6,26024,29749,50694,90328,9315,1858,175095,22900
LAX,"Los Angeles, CA: Los Angeles International",2019/01,1,January,2019,667,2348,292,11,430,"American Airlines Inc.,Spirit Airlines Inc.",2,194,2351,36,8443,11024,34392,54252,42345,1151,170150,38010
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2020/11,11,November,2020,166,1166,574,6,350,"Delta Air Lines Inc.,Alaska Airlines Inc.,American Airlines Inc.",3,208,5973,39,12854,19074,44607,25550,104479,1134,180367,4597
SEA,"Seattle, WA: Seattle-Tacoma International",2007/01,1,January,2007,634,585,2907,21,598,"American Airlines Inc.,Delta Air Lines Inc.",2,215,8852,10,14433,23510,53164,93433,77877,648,258954,33832
SFO,"San Francisco, CA: San Francisco International",2012/01,1,January,2012,138,1484,2491,22,327,"Hawaiian Airlines Inc.,Delta Air Lines Inc.,Alaska Airlines Inc.,Spirit Airlines Inc.,Frontier Airlines Inc.,Sun Country Airlines",6,109,3475,47,23972,27603,10952,47438,41962,1544,114045,12149
DEN,"Denver, CO: Denver International",2017/12,12,December,2017,259,2468,3098,29,440,"Southwest Airlines Co.,Frontier Airlines Inc.",2,254,3853,24,19939,24070,69417,4584,50553,451,135511,10506
ORD,"Chicago, IL: O'Hare International",2010/05,5,May,2010,1112,1211,3628,2,635,"JetBlue Airways,American Airlines Inc.",2,71,6007,45,7785,13908,75950,35099,69633,265,207025,26078
LAX,"Los Angeles, CA: Los Angeles International",2016/04,4,April,2016,1317,901,3765,0,370,"Delta Air Lines Inc.,United Air Lines Inc.,JetBlue Airways,Southwest Airlines Co.,Spirit Airlines Inc.",5,67,4294,31,6869,11261,23603,91758,16181,1993,180463,46928
LAX,"Los Angeles, CA: Los Angeles International",2009/09,9,September,2009,1172,2135,102,23,687,"Delta Air Lines Inc.,Allegiant Air,Hawaiian Airlines Inc.,Frontier Airlines Inc.,United Air Lines Inc.,JetBlue Airways,Spirit Airlines Inc.",7,56,2497,25,11046,13624,32221,1899,26428,739,71685,10398
DEN,"Denver, CO: Denver International",2015/08,8,August,2015,1924,1728,3636,11,2,"Frontier Airlines Inc.,Southwest Airlines Co.",2,208,9158,37,16080,25483,8199,59341,55968,1074,149654,25072
SEA,"Seattle, WA: Seattle-Tacoma International",2004/09,9,September,2004,260,956,1011,25,477,"Frontier Airlines Inc.,Hawaiian Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.",4,221,9855,34,20387,30497,30938,94009,55768,1617,188601,6269
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2015/12,12,December,2015,969,117,3110,6,528,"Spirit Airlines Inc.,Hawaiian Airlines Inc.",2,25,4254,6,17191,21476,23405,31581,50998,289,149055,42782
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2003/08,8,August,2003,84,2048,73,11,647,"Alaska Airlines Inc.,Delta Air Lines Inc.,United Air Lines Inc.,American Airlines Inc.,Frontier Airlines Inc.",5,84,4158,34,19358,23634,30463,92739,50600,1592,201534,26140
SFO,"San Francisco, CA: San Francisco International",2019/06,6,June,2019,392,496,230,4,37,"American Airlines Inc.,JetBlue Airways,Spirit Airlines Inc.,Alaska Airlines Inc.,Allegiant Air",5,164,6605,9,29258,36036,36861,97731,33287,742,187391,18770
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2002/12,12,December,2002,337,1205,199,14,236,"Hawaiian Airlines Inc.,Allegiant Air,Alaska Airlines Inc.",3,161,7405,37,27423,35026,34652,98054,53640,849,213110,25915
ORD,"Chicago, IL: O'Hare International",2002/02,2,February,2002,413,2300,3216,8,265,"Spirit Airlines Inc.,JetBlue Airways",2,159,9334,20,23219,32732,40771,81299,107371,284,247718,17993
SFO,"San Francisco, CA: San Francisco International",2020/03,3,March,2020,274,717,2134,17,280,"Alaska Airlines Inc.,United Air Lines Inc.,Allegiant Air,Sun Country Airlines",4,113,649,38,22504,23304,55545,58047,33286,1101,186983,39004
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2001/09,9,September,2001,465,651,1436,8,456,"Allegiant Air,Spirit Airlines Inc.,United Air Lines Inc.",3,268,1106,15,27567,28956,58401,16966,63922,267,182713,43157
SFO,"San Francisco, CA: San Francisco International",2016/05,5,May,2016,257,1787,3102,13,157,"Sun Country Airlines,Alaska Airlines Inc.",2,69,8210,41,8687,17007,59914,7231,97783,1129,213860,47803
JFK,"New York, NY: John F. Kennedy International",2006/01,1,January,2006,1096,1237,1436,11,122,"Hawaiian Airlines Inc.,Delta Air Lines Inc.,Alaska Airlines Inc.,Allegiant Air",4,139,1678,38,7351,9206,63051,37880,8434,1565,154310,43380
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2018/11,11,November,2018,1337,2489,1521,30,251,"JetBlue Airways,American Airlines Inc.,Southwest Airlines Co.,Hawaiian Airlines Inc.",4,30,9371,22,10576,19999,20751,46610,41116,1819,159300,49004
LAX,"Los Angeles, CA: Los Angeles International",2016/01,1,January,2016,1261,1670,1759,18,317,"JetBlue Airways,Sun Country Airlines",2,30,4494,5,22907,27436,63589,68665,85436,1566,251930,32674
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2016/12,12,December,2016,1959,1168,1197,15,45,"Delta Air Lines Inc.,Alaska Airlines Inc.,JetBlue Airways",3,295,3109,35,10829,14268,19749,32057,79118,1746,134007,1337
DEN,"Denver, CO: Denver International",2022/07,7,July,2022,1850,71,2815,4,513,"Southwest Airlines Co.,Allegiant Air,Alaska Airlines Inc.,JetBlue Airways,Frontier Airlines Inc.,Sun Country Airlines,Delta Air Lines Inc.",7,10,2851,34,8866,11761,36677,53795,23080,706,127494,13236
JFK,"New York, NY: John F. Kennedy International",2002/05,5,May,2002,1271,1408,3104,14,465,"JetBlue Airways,Sun Country Airlines,American Airlines Inc.",3,124,3207,18,6838,10187,34351,33269,7956,22,83634,8036
ORD,"Chicago, IL: O'Hare International",2013/08,8,August,2013,1993,2496,198,13,572,"United Air Lines Inc.,JetBlue Airways,Allegiant Air,Delta Air Lines Inc.,Southwest Airlines Co.,American Airlines Inc.,Spirit Airlines Inc.",7,63,3829,33,20454,24379,64243,25248,5633,1732,129879,33023
JFK,"New York, NY: John F. Kennedy International",2005/01,1,January,2005,592,142,332,30,288,"JetBlue Airways,Hawaiian Airlines Inc.,Sun Country Airlines,Southwest Airlines Co.",4,295,9368,46,9246,18955,38492,41361,55495,1027,184582,48207
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2011/12,12,December,2011,1238,1383,2850,3,415,"United Air Lines Inc.,Frontier Airlines Inc.,Delta Air Lines Inc.,Sun Country Airlines",4,214,2629,7,21219,24069,29583,9929,32773,1771,98440,24384
SEA,"Seattle, WA: Seattle-Tacoma International",2012/10,10,October,2012,101,2255,3342,1,30,"American Airlines Inc.,Hawaiian Airlines Inc.",2,154,624,19,11555,12352,33115,69854,31562,412,150500,15557
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2008/03,3,March,2008,609,2186,1202,3,633,"Southwest Airlines Co.,Allegiant Air,Frontier Airlines Inc.,United Air Lines Inc.,Spirit Airlines Inc.,Hawaiian Airlines Inc.,Sun Country Airlines",7,238,8804,0,28125,37167,16448,36948,38386,1991,117380,23607
ORD,"Chicago, IL: O'Hare International",2015/02,2,February,2015,660,561,2420,5,577,"American Airlines Inc.,JetBlue Airways",2,290,3653,18,5734,9695,17700,58645,73174,209,156604,6876
BOS,"Boston, MA: Logan International",2018/01,1,January,2018,1001,1355,1101,15,726,"Sun Country Airlines,JetBlue Airways,Southwest Airlines Co.,Delta Air Lines Inc.",4,10,1032,17,7497,8556,68191,61276,116217,1732,259526,12110
LAX,"Los Angeles, CA: Los Angeles International",2001/04,4,April,2001,646,219,3606,13,97,"United Air Lines Inc.,Alaska Airlines Inc.,JetBlue Airways,Southwest Airlines Co.",4,53,4028,16,20719,24816,51117,54141,70593,1533,217130,39746
SEA,"Seattle, WA: Seattle-Tacoma International",2018/04,4,April,2018,64,2020,3104,27,196,"Frontier Airlines Inc.,JetBlue Airways,Hawaiian Airlines Inc.",3,266,6491,49,7127,13933,28997,31859,5422,1018,71530,4234
ORD,"Chicago, IL: O'Hare International",2018/01,1,January,2018,1454,442,3423,30,739,"Alaska Airlines Inc.,Hawaiian Airlines Inc.",2,133,2850,31,11710,14724,45941,78367,63015,1516,213752,24913
DEN,"Denver, CO: Denver International",2018/11,11,November,2018,1484,693,485,22,83,"United Air Lines Inc.,Hawaiian Airlines Inc.",2,96,1105,19,20854,22074,70987,38799,106635,1053,229075,11601
JFK,"New York, NY: John F. Kennedy International",2005/05,5,May,2005,1460,1683,3157,16,457,"Hawaiian Airlines Inc.,Delta Air Lines Inc.,Southwest Airlines Co.",3,170,9007,14,22443,31634,8431,10998,46211,1954,112289,44695
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2016/12,12,December,2016,209,744,145,1,389,"Delta Air Lines Inc.,Spirit Airlines Inc.",2,294,4219,9,7799,12321,65853,81138,100624,1545,253895,4735
BOS,"Boston, MA: Logan International",2018/01,1,January,2018,83,2116,1858,1,404,"United Air Lines Inc.,American Airlines Inc.,Delta Air Lines Inc.,Allegiant Air,Alaska Airlines Inc.",5,228,5593,44,16726,22591,26496,67695,89013,1415,204148,19529
SFO,"San Francisco, CA: San Francisco International",2005/07,7,July,2005,699,1425,3816,17,242,"Spirit Airlines Inc.,Alaska Airlines Inc.",2,111,6036,3,16896,23046,67177,18116,9161,1007,140616,45155
ORD,"Chicago, IL: O'Hare International",2022/11,11,November,2022,1434,179,1954,15,505,"Alaska Airlines Inc.,American Airlines Inc.,Hawaiian Airlines Inc.,JetBlue Airways,Allegiant Air",5,79,3300,46,17570,20995,51620,62434,46547,1119,193411,31691
LAX,"Los Angeles, CA: Los Angeles International",2022/12,12,December,2022,1252,959,2162,23,577,"Sun Country Airlines,Frontier Airlines Inc.",2,284,6747,29,19669,26729,40132,39872,68352,1299,176747,27092
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2018/10,10,October,2018,1569,80,335,18,230,"United Air Lines Inc.,Hawaiian Airlines Inc.,Delta Air Lines Inc.,Sun Country Airlines",4,228,5789,0,11904,17921,24078,54371,67041,66,166974,21418
SEA,"Seattle, WA: Seattle-Tacoma International",2012/09,9,September,2012,88,2199,2281,3,435,"Delta Air Lines Inc.,Alaska Airlines Inc.,Frontier Airlines Inc.,United Air Lines Inc.,Sun Country Airlines,Allegiant Air",6,156,7414,2,18008,25580,15699,8197,71112,1960,99007,2039
ORD,"Chicago, IL: O'Hare International",2018/07,7,July,2018,1650,2193,3081,13,654,"JetBlue Airways,Southwest Airlines Co.,American Airlines Inc.,Sun Country Airlines,Allegiant Air,Delta Air Lines Inc.",6,191,5117,32,14272,19612,19137,19348,70958,777,132801,22581
BOS,"Boston, MA: Logan International",2000/02,2,February,2000,785,534,1423,15,60,"United Air Lines Inc.,Spirit Airlines Inc.,Hawaiian Airlines Inc.,Alaska Airlines Inc.",4,137,729,4,27740,28610,11292,5766,27915,407,45919,539
JFK,"New York, NY: John F. Kennedy International",2008/05,5,May,2008,110,2219,1682,12,232,"Frontier Airlines Inc.,Allegiant Air,Alaska Airlines Inc.,United Air Lines Inc.",4,77,834,50,16761,17722,77748,4558,89613,1471,216223,42833
SFO,"San Francisco, CA: San Francisco International",2017/04,4,April,2017,295,185,3817,24,104,"Delta Air Lines Inc.,Sun Country Airlines,Hawaiian Airlines Inc.,Frontier Airlines Inc.,Allegiant Air,United Air Lines Inc.",6,160,573,49,17185,17967,77145,91366,46046,1541,240307,24209
DEN,"Denver, CO: Denver International",2004/08,8,August,2004,63,2488,1270,26,107,"United Air Lines Inc.,Sun Country Airlines,Hawaiian Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,American Airlines Inc.",6,33,6458,23,16890,23404,32501,96472,3513,1784,178187,43917
ORD,"Chicago, IL: O'Hare International",2010/09,9,September,2010,1273,805,1211,12,384,"JetBlue Airways,American Airlines Inc.,Hawaiian Airlines Inc.,Southwest Airlines Co.",4,213,906,11,13623,14753,46306,7643,73224,1688,138286,9425
ORD,"Chicago, IL: O'Hare International",2020/01,1,January,2020,807,663,3224,8,655,"Alaska Airlines Inc.,Frontier Airlines Inc.,Southwest Airlines Co.,Spirit Airlines Inc.,Sun Country Airlines",5,70,1738,12,25007,26827,20251,4662,83592,1660,137216,27051
BOS,"Boston, MA: Logan International",2004/11,11,November,2004,1354,1248,2613,29,2,"Hawaiian Airlines Inc.,United Air Lines Inc.,Spirit Airlines Inc.",3,204,2786,35,8842,11867,75819,40183,74311,1545,211263,19405
LAX,"Los Angeles, CA: Los Angeles International",2003/12,12,December,2003,904,729,2654,10,345,"Hawaiian Airlines Inc.,United Air Lines Inc.,JetBlue Airways,Alaska Airlines Inc.",4,207,4579,45,29823,34654,13211,53287,87319,336,184075,29922
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2005/06,6,June,2005,1563,2231,2890,13,196,"Spirit Airlines Inc.,United Air Lines Inc.,Sun Country Airlines,Allegiant Air,Delta Air Lines Inc.,Frontier Airlines Inc.,Alaska Airlines Inc.",7,242,8840,11,29483,38576,20763,35917,31553,1182,128048,38633
